circuit_id,races,top1_accuracy,top3_accuracy,top5_accuracy,mrr,ndcg_at_5
australia,1,0.0,0,0,0,0
austria,1,0.0,0,0,0,0
azerbaijan,1,0.0,0,0,0,0
bahrain,1,0.0,0,0,0,0
belgium,1,0.0,0,0,0,0
brazil,1,0.0,0,0,0,0
britain,1,0.0,0,0,0,0
canada,1,0.0,0,0,0,0
china,1,0.0,0,0,0,0
france,1,0.0,0,0,0,0
germany,1,0.0,0,0,0,0
hungary,1,0.0,0,0,0,0
italy,1,0.0,0,0,0,0
japan,1,0.0,0,0,0,0
mexico,1,0.0,0,0,0,0
monaco,1,0.0,0,0,0,0
russia,1,0.0,0,0,0,0
singapore,1,0.0,0,0,0,0
spain,1,0.0,0,0,0,0
usa,1,0.0,0,0,0,0
