model,split,circuit_id,races_count,top1_accuracy,avg_position,mrr
FP3_Baseline,train,australia,9,0.0,0.0,0.0
FP3_Baseline,train,austria,7,0.0,0.0,0.0
FP3_Baseline,train,azerbaijan,9,0.0,0.0,0.0
FP3_Baseline,train,bahrain,9,0.0,0.0,0.0
FP3_Baseline,train,belgium,9,0.1111111111111111,104.0,0.0
FP3_Baseline,train,brazil,9,0.0,0.0,0.0
FP3_Baseline,train,britain,9,0.0,169.0,0.0
FP3_Baseline,train,canada,9,0.0,0.0,0.0
FP3_Baseline,train,china,9,0.0,0.0,0.0
FP3_Baseline,train,france,9,0.0,0.0,0.0
FP3_Baseline,train,germany,9,0.1111111111111111,464.0,0.0
FP3_Baseline,train,hungary,9,0.0,773.0,0.0
FP3_Baseline,train,italy,9,0.0,1292.0,0.0
FP3_Baseline,train,japan,9,0.1111111111111111,224.0,0.0
FP3_Baseline,train,mexico,9,0.1111111111111111,733.0,0.0
FP3_Baseline,train,monaco,9,0.1111111111111111,633.0,0.0
FP3_Baseline,train,russia,9,0.0,713.0,0.0
FP3_Baseline,train,singapore,9,0.2222222222222222,610.75,0.0
FP3_Baseline,train,spain,9,0.0,0.0,0.0
FP3_Baseline,train,usa,9,0.0,723.0,0.0
FP3_Baseline,val,australia,1,0.0,0.0,0.0
FP3_Baseline,val,austria,1,0.0,0.0,0.0
FP3_Baseline,val,azerbaijan,1,0.0,0.0,0.0
FP3_Baseline,val,bahrain,1,0.0,0.0,0.0
FP3_Baseline,val,belgium,1,0.0,0.0,0.0
FP3_Baseline,val,brazil,1,0.0,0.0,0.0
FP3_Baseline,val,britain,1,0.0,0.0,0.0
FP3_Baseline,val,canada,1,0.0,0.0,0.0
FP3_Baseline,val,china,1,0.0,0.0,0.0
FP3_Baseline,val,france,1,0.0,0.0,0.0
FP3_Baseline,val,germany,1,0.0,0.0,0.0
FP3_Baseline,val,hungary,1,0.0,0.0,0.0
FP3_Baseline,val,italy,1,0.0,0.0,0.0
FP3_Baseline,val,japan,1,0.0,0.0,0.0
FP3_Baseline,val,mexico,1,0.0,0.0,0.0
FP3_Baseline,val,monaco,1,0.0,0.0,0.0
FP3_Baseline,val,russia,1,0.0,0.0,0.0
FP3_Baseline,val,singapore,1,0.0,0.0,0.0
FP3_Baseline,val,spain,1,0.0,0.0,0.0
FP3_Baseline,val,usa,1,0.0,0.0,0.0
FP3_Baseline,test,australia,1,0.0,0.0,0.0
FP3_Baseline,test,austria,1,0.0,0.0,0.0
FP3_Baseline,test,azerbaijan,1,0.0,0.0,0.0
FP3_Baseline,test,bahrain,1,0.0,0.0,0.0
FP3_Baseline,test,belgium,1,0.0,0.0,0.0
FP3_Baseline,test,brazil,1,0.0,0.0,0.0
FP3_Baseline,test,britain,1,0.0,0.0,0.0
FP3_Baseline,test,canada,1,0.0,0.0,0.0
FP3_Baseline,test,china,1,0.0,0.0,0.0
FP3_Baseline,test,france,1,0.0,0.0,0.0
FP3_Baseline,test,germany,1,0.0,0.0,0.0
FP3_Baseline,test,hungary,1,0.0,0.0,0.0
FP3_Baseline,test,italy,1,0.0,0.0,0.0
FP3_Baseline,test,japan,1,0.0,0.0,0.0
FP3_Baseline,test,mexico,1,0.0,0.0,0.0
FP3_Baseline,test,monaco,1,0.0,0.0,0.0
FP3_Baseline,test,russia,1,0.0,0.0,0.0
FP3_Baseline,test,singapore,1,0.0,0.0,0.0
FP3_Baseline,test,spain,1,0.0,0.0,0.0
FP3_Baseline,test,usa,1,0.0,0.0,0.0
